batch_size,time,IAC
364,0.006285,1.678982433817741
365,0.005389,2.0905364587381117
366,0.005328,2.619488125146017
367,0.00526,2.480287462571365
368,0.005263,1.796206136959209
369,0.005265,10.052579859885233
370,0.005282,2.0663395511178697
371,0.005266,2.1025124156536146
372,0.005289,3.430548030282706
373,0.005249,2.6170363724060666
374,0.00527,2.334089519158197
375,0.005195,3.5661713840504095
376,0.005247,2.41237627038475
377,0.005222,1.959634369645343
378,0.005209,2.3726479999283643
379,0.00522,2.623611833031245
380,0.005441,2.425184620143602
381,0.005249,2.3581521966756163
382,0.005266,2.3927107310393887
383,0.005267,8.359140145770905
384,0.005223,3.329566770500249
385,0.005053,2.6257451797932294
386,0.004987,2.662407533080869
387,0.004947,3.154073078460034
388,0.005289,2.976595412776692
389,0.004897,2.494515607597805
390,0.004865,3.2135168987703464
391,0.005076,2.868311140043033
392,0.004977,3.260215678435372
393,0.004881,2.8837509627134144
394,0.004909,2.3284171731053442
395,0.004894,2.219799050126005
396,0.005172,2.4714257013157175
397,0.004887,2.307589414530571
398,0.005007,4.318939654792678
399,0.005012,10.214581846978056
400,0.004882,2.766191727101773
401,0.004893,2.641040541239776
402,0.004856,2.9133729209678623
403,0.004846,3.018625457072006
404,0.00499,2.3754871642302353
405,0.004756,2.0691320700526656
406,0.00477,3.1973503874707907
407,0.004843,3.1372553722705665
408,0.004701,3.041874735292475
409,0.0047,3.045581710776008
410,0.004669,2.5322626543152778
411,0.004693,2.529048384485418
412,0.004807,2.328070497746268
413,0.004695,2.5766359474322473
414,0.004717,2.283120577976788
415,0.004723,11.252876763755395
416,0.004665,3.58401098423923
417,0.004521,2.22251184725159
418,0.004488,2.3848267358624278
419,0.0045,2.6281288760590322
420,0.004612,2.891755212477641
421,0.004513,2.3815271157152282
422,0.004557,1.7417035228948285
423,0.004499,1.4998030823439636
424,0.004528,1.7399431985121612
425,0.004489,2.0925703051784734
426,0.004494,2.3914236543426033
427,0.004529,1.9092009018527702
428,0.00472,2.0185575094809445
429,0.004646,2.091183241394583
430,0.004565,1.7190184236750468
431,0.004638,2.5315321826744315
432,0.004526,1.545099371875355
433,0.004526,10.144465938359394
434,0.004505,5.745701806707901
435,0.004322,2.2252432808867724
436,0.004436,1.6149782098282919
437,0.004336,2.309018667322983
438,0.004328,2.493292928925
439,0.004424,2.555664794466512
440,0.004423,3.2425316989429325
441,0.004391,2.9843189143258324
442,0.004367,2.6576057906846935
443,0.004455,2.7610369733507665
444,0.004522,2.4953470020652757
445,0.004551,2.599185614812223
446,0.004528,2.4729420273679192
447,0.004517,2.492283565091796
448,0.004393,2.3018677953935107
449,0.00438,1.7109332173455813
450,0.004375,2.1545020759736575
451,0.004354,2.149658013748505
452,0.004629,2.8707457452103466
453,0.004484,15.165167147672323
454,0.004521,2.25139987761868
455,0.004335,3.294861736095186
456,0.00435,2.9211705305893934
457,0.004421,2.275085405918082
458,0.004347,2.7530150276569905
459,0.004347,3.2390662306833384
460,0.004562,2.5251702049604527
461,0.004349,2.353318534742719
462,0.004335,2.1376857025047147
463,0.004353,1.8295590033782185
464,0.004335,2.204907814122298
465,0.004348,2.0552095128727106
466,0.004343,3.1360723500737833
467,0.004311,3.354776746070663
468,0.004187,2.468319150026212
469,0.004199,2.328681886469568
470,0.004207,3.5307475891956117
471,0.004229,2.0995757630859377
472,0.004318,1.5557594478877557
473,0.004378,2.646340400650703
474,0.004341,8.344263011607866
475,0.004348,12.143481437892103
476,0.004449,3.055291994560271
477,0.004122,2.6174244830314297
478,0.004182,2.334565773238041
479,0.004136,2.362064589877746
480,0.004169,2.6609016702088817
481,0.004153,2.529109710499877
482,0.00415,2.785318996289755
483,0.004148,2.8844338387322184
484,0.004155,2.7350282512422317
485,0.004166,2.651028822598293
486,0.004075,2.4727645976340398
487,0.004235,2.3272125131599877
488,0.004198,2.5654012184305883
489,0.004195,3.2199508664917413
490,0.004158,2.586074284010877
491,0.004118,1.8743625909389927
492,0.004174,1.9015751632032856
493,0.004114,2.646586986215848
494,0.004146,1.2817937732940605
495,0.004128,1.9871532105841945
496,0.00403,2.2729956137958776
497,0.004042,2.3723755616975475
498,0.004048,13.953089772959714
499,0.004029,7.62839077368924
500,0.003854,1.9287250999132621
501,0.003863,1.7610084584314973
502,0.003861,1.7516507512487176
503,0.004043,1.7349220452610692
504,0.003909,1.5223874865613494
505,0.003868,1.3171965790463618
506,0.003899,1.965665803722587
507,0.003887,2.6256299164784784
508,0.003903,2.733461977125993
509,0.003967,3.0910088822090778
510,0.003913,2.564015367167804
511,0.003877,2.4706874385153066
512,0.003921,2.8705323123901634
513,0.003925,2.415582313232151
514,0.00386,2.01461769805202
515,0.003943,2.1338366468307925
516,0.003934,2.675319687148377
517,0.003862,1.900213427960239
518,0.00392,2.023491635294768
519,0.003998,2.9232851491374054
520,0.004029,2.036452014745507
521,0.00399,2.5178731754228965
522,0.00398,2.141688840451928
523,0.003945,1.9976660859545077
524,0.003924,11.066318343772995
525,0.003948,15.068666384608148
526,0.00393,2.6132970411914918
527,0.003805,1.0987583029180719
528,0.003815,1.2121506880092143
529,0.00383,1.6088778116125466
530,0.003819,1.6330495432900616
531,0.003869,1.7591755045694168
532,0.00384,2.232454466995352
533,0.003841,2.147627791622819
534,0.003774,1.1742620487643134
535,0.003737,1.1074542101799378
536,0.003696,1.754583705915232
537,0.003699,2.4650657412887815
538,0.003693,1.895365839452347
539,0.003709,1.7845000278946916
540,0.00369,2.533363178909622
541,0.003701,2.5720528121859516
542,0.003697,2.866398870106883
543,0.003679,3.013508143925646
544,0.003689,2.8034331410538713
545,0.003695,3.1207984546122196
546,0.003693,3.6716464151443926
547,0.003697,2.7215948089020134
548,0.003695,2.9712515256726926
549,0.003811,2.8361335350404175
550,0.00369,4.025374257665542
551,0.003696,2.5821511432209916
552,0.003689,1.4710404192830697
553,0.003742,9.045754642541212
554,0.003752,19.43718844765076
555,0.00376,2.039697251342167
556,0.00353,1.5215754066233824
557,0.003529,2.040294222859374
558,0.003566,3.319374417202532
559,0.003531,3.477068756741133
560,0.003523,2.843481969027984
561,0.00353,2.7909148997611366
562,0.003527,2.770250792568043
563,0.003576,2.7661021350314834
